doc_id,intent_node,title,source_type,source_urls,path
product-主要配件-matex7-rotating-case,参数与卖点 KB,Mate X7 旋转支架保护壳 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086442319937&sbomCode=3103010104402 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/matex7-rotating-case_Mate X7 旋转支架保护壳.md
product-主要配件-powerbank-100w-12000,参数与卖点 KB,华为自带线全能充移动电源（100 W 12000） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086008427264&sbomCode=3102010029903 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/powerbank-100w-12000_华为自带线全能充移动电源（100 W 12000）.md
product-主要配件-powerbank-22w5-se,参数与卖点 KB,华为多协议超级快充移动电源 10000 mAh（Max 22.5W SE） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086554072805&sbomCode=3102010021102 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/powerbank-22w5-se_华为多协议超级快充移动电源 10000 mAh（Max 22.5W SE）.md
product-主要配件-powerbank-66w-12000,参数与卖点 KB,华为自带线全能充移动电源（66 W 12000） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086100136965&sbomCode=3102010030701 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/powerbank-66w-12000_华为自带线全能充移动电源（66 W 12000）.md
product-主要配件-watch-gt6-pro-strap,参数与卖点 KB,WATCH GT 6 Pro 表带 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086422365319&sbomCode=3101040025703 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/watch-gt6-pro-strap_WATCH GT 6 Pro 表带.md
product-主要配件-wireless-charger-80w,参数与卖点 KB,华为超级快充立式无线充电器（Max 80 W） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086257136521&sbomCode=3102020057306 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/wireless-charger-80w_华为超级快充立式无线充电器（Max 80 W）.md
product-主要配件-woven-cable-120w,参数与卖点 KB,华为编织数据线（Max 120 W） 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086875293502&sbomCode=3102030030601 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%258D%258E%25E4%25B8%25BA%25E9%2585%258D%25E4%25BB%25B6&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/主要配件/woven-cable-120w_华为编织数据线（Max 120 W）.md
product-家庭存储-home-storage,参数与卖点 KB,华为家庭存储 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086111180187&sbomCode=3001070001001 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%25AE%25B6%25E5%25BA%25AD%25E5%25AD%2598%25E5%2582%25A8&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/家庭存储/home-storage_华为家庭存储.md
product-10086106814226,参数与卖点 KB,HUAWEI MatePad Pro 12.2 英寸 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086106814226&sbomCode=2701010122029,01_参数与卖点_KB/平板/10086106814226_HUAWEI_MatePad_Pro_12.2_英寸.md
product-10086120212240,参数与卖点 KB,HUAWEI MatePad Pro 13.2 英寸 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086120212240,01_参数与卖点_KB/平板/10086120212240_HUAWEI_MatePad_Pro_13.2_英寸.md
product-10086127502687,参数与卖点 KB,HUAWEI MatePad Pro Max 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086127502687&sbomCode=2701010130502,01_参数与卖点_KB/平板/10086127502687_HUAWEI_MatePad_Pro_Max.md
product-10086287244006,参数与卖点 KB,HUAWEI MatePad Mini 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086287244006&sbomCode=2701010123211,01_参数与卖点_KB/平板/10086287244006_HUAWEI_MatePad_Mini.md
product-10086294960453,参数与卖点 KB,HUAWEI MatePad 11.5 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086294960453,01_参数与卖点_KB/平板/10086294960453_HUAWEI_MatePad_11.5.md
product-10086426290126,参数与卖点 KB,HUAWEI MatePad SE 11英寸 焕新版 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086426290126&sbomCode=2701010132701,01_参数与卖点_KB/平板/10086426290126_HUAWEI_MatePad_SE_11英寸_焕新版.md
product-10086486839777,参数与卖点 KB,HUAWEI MatePad Air 12英寸 鸿蒙焕新版 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086486839777&sbomCode=2701010131701,01_参数与卖点_KB/平板/10086486839777_HUAWEI_MatePad_Air_12英寸_鸿蒙焕新版.md
product-10086518319242,参数与卖点 KB,HUAWEI MatePad 11.5 S 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086518319242&sbomCode=2701010122623,01_参数与卖点_KB/平板/10086518319242_HUAWEI_MatePad_11.5_S.md
product-10086590821009,参数与卖点 KB,HUAWEI MatePad Edge 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086590821009&sbomCode=2701010126301,01_参数与卖点_KB/平板/10086590821009_HUAWEI_MatePad_Edge.md
product-current-matepad-11-5-s-flex-2025,参数与卖点 KB,HUAWEI MatePad 11.5 S 灵动款 鸿蒙焕新版 参数与卖点,official_product_or_specs_page,https://consumer.huawei.com/cn/tablets/matepad-11-5-s-2025/specs/ | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%25B9%25B3%25E6%259D%25BF&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/平板/current_HUAWEI_MatePad_11.5_S_灵动款_鸿蒙焕新版.md
product-current-matepad-11-5-2026,参数与卖点 KB,HUAWEI MatePad 11.5 鸿蒙焕新版 参数与卖点,official_product_or_specs_page,https://consumer.huawei.com/cn/tablets/matepad-11-5-2026/specs/ | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E5%25B9%25B3%25E6%259D%25BF&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/平板/current_HUAWEI_MatePad_11.5_鸿蒙焕新版.md
product-10086061975812,参数与卖点 KB,HUAWEI Pura X 参数与卖点,official_product_or_specs_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086061975812 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2589%258B%25E6%259C%25BA&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/手机/10086061975812_HUAWEI_Pura_X.md
product-10086133363559,参数与卖点 KB,HUAWEI Mate 80 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086133363559&sbomCode=2601010586341,01_参数与卖点_KB/手机/10086133363559_HUAWEI_Mate_80.md
product-10086153236238,参数与卖点 KB,HUAWEI Pura 80 Pro+ 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086153236238,01_参数与卖点_KB/手机/10086153236238_HUAWEI_Pura_80_Pro+.md
product-10086174757473,参数与卖点 KB,华为畅享 90 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086174757473,01_参数与卖点_KB/手机/10086174757473_华为畅享_90.md
product-10086259366534,参数与卖点 KB,HUAWEI Mate 70 Pro 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086259366534,01_参数与卖点_KB/手机/10086259366534_HUAWEI_Mate_70_Pro.md
product-10086270081540,参数与卖点 KB,华为畅享 90 Pro Max 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086270081540,01_参数与卖点_KB/手机/10086270081540_华为畅享_90_Pro_Max.md
product-10086316355082,参数与卖点 KB,HUAWEI Pura 80 Pro 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086316355082,01_参数与卖点_KB/手机/10086316355082_HUAWEI_Pura_80_Pro.md
product-10086364337052,参数与卖点 KB,HUAWEI Pura 80 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086364337052,01_参数与卖点_KB/手机/10086364337052_HUAWEI_Pura_80.md
product-10086384239615,参数与卖点 KB,HUAWEI Mate 70 Air 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086384239615,01_参数与卖点_KB/手机/10086384239615_HUAWEI_Mate_70_Air.md
product-10086454848882,参数与卖点 KB,HUAWEI Pura 90 Pro Max 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086454848882&sbomCode=2601010614324,01_参数与卖点_KB/手机/10086454848882_HUAWEI_Pura_90_Pro_Max.md
product-10086476013098,参数与卖点 KB,HUAWEI Mate 80 Pro 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086476013098,01_参数与卖点_KB/手机/10086476013098_HUAWEI_Mate_80_Pro.md
product-10086511284892,参数与卖点 KB,HUAWEI Mate 80 RS 非凡大师 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086511284892,01_参数与卖点_KB/手机/10086511284892_HUAWEI_Mate_80_RS_非凡大师.md
product-10086524794571,参数与卖点 KB,nova 16 Ultra 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086524794571&sbomCode=2601010625710,01_参数与卖点_KB/手机/10086524794571_nova_16_Ultra.md
product-10086621059876,参数与卖点 KB,HUAWEI Pura X Max 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086621059876,01_参数与卖点_KB/手机/10086621059876_HUAWEI_Pura_X_Max.md
product-10086658434293,参数与卖点 KB,nova 16z 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086658434293&sbomCode=2601010626007,01_参数与卖点_KB/手机/10086658434293_nova_16z.md
product-10086724171251,参数与卖点 KB,HUAWEI Mate 80 Pro Max 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086724171251&sbomCode=2601010586509,01_参数与卖点_KB/手机/10086724171251_HUAWEI_Mate_80_Pro_Max.md
product-10086754422315,参数与卖点 KB,HUAWEI Mate XTs 非凡大师 参数与卖点,official_product_or_specs_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086754422315&sbomCode=2601010580035 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2589%258B%25E6%259C%25BA&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/手机/10086754422315_HUAWEI_Mate_XTs_非凡大师.md
product-10086838189168,参数与卖点 KB,HUAWEI Mate X7 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086838189168,01_参数与卖点_KB/手机/10086838189168_HUAWEI_Mate_X7.md
product-10086839537149,参数与卖点 KB,HUAWEI Pura 80 Ultra 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086839537149,01_参数与卖点_KB/手机/10086839537149_HUAWEI_Pura_80_Ultra.md
product-10086843224230,参数与卖点 KB,HUAWEI Mate X6 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086843224230,01_参数与卖点_KB/手机/10086843224230_HUAWEI_Mate_X6.md
product-10086850799769,参数与卖点 KB,nova 16 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086850799769&sbomCode=2601010625916,01_参数与卖点_KB/手机/10086850799769_nova_16.md
product-10086866372688,参数与卖点 KB,HUAWEI Pura 90 Pro 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086866372688&sbomCode=2601010614420,01_参数与卖点_KB/手机/10086866372688_HUAWEI_Pura_90_Pro.md
product-10086898360689,参数与卖点 KB,HUAWEI Mate 70 Pro 优享版 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086898360689,01_参数与卖点_KB/手机/10086898360689_HUAWEI_Mate_70_Pro_优享版.md
product-10086941643085,参数与卖点 KB,nova 16 Pro 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086941643085&sbomCode=2601010625815,01_参数与卖点_KB/手机/10086941643085_nova_16_Pro.md
product-10086981094378,参数与卖点 KB,HUAWEI Mate 80 Pro Max 风驰版 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086981094378,01_参数与卖点_KB/手机/10086981094378_HUAWEI_Mate_80_Pro_Max_风驰版.md
product-10086989076790,参数与卖点 KB,HUAWEI Mate 70 Pro+ 参数与卖点,official_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086989076790,01_参数与卖点_KB/手机/10086989076790_HUAWEI_Mate_70_Pro+.md
product-current-pura-90,参数与卖点 KB,HUAWEI Pura 90 参数与卖点,official_product_or_specs_page,https://consumer.huawei.com/cn/phones/pura90/specs/ | https://consumer.huawei.com/cn/phones/pura90/ | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2589%258B%25E6%259C%25BA&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/手机/current_HUAWEI_Pura_90.md
product-current-changxiang-90-plus,参数与卖点 KB,华为畅享 90 Plus 参数与卖点,official_product_or_specs_page,https://consumer.huawei.com/cn/phones/changxiang-90-plus/specs/ | https://consumer.huawei.com/cn/phones/changxiang-90-plus/ | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2589%258B%25E6%259C%25BA&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/手机/current_华为畅享_90_Plus.md
product-打印机-bisheng-laser-x1,参数与卖点 KB,华为毕昇激光打印机 X1 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/product/comdetail/index.html?prdId=10086607543515&sbomCode=3703010008009 | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2589%2593%25E5%258D%25B0%25E6%259C%25BA&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/打印机/bisheng-laser-x1_华为毕昇激光打印机 X1.md
product-智慧屏-matetv-max,参数与卖点 KB,华为智慧屏 MateTV Max 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/matetv-max_华为智慧屏 MateTV Max.md
product-智慧屏-matetv-pro,参数与卖点 KB,华为智慧屏 MateTV Pro 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/matetv-pro_华为智慧屏 MateTV Pro.md
product-智慧屏-matetv,参数与卖点 KB,华为智慧屏 MateTV 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/matetv_华为智慧屏 MateTV.md
product-智慧屏-s6-pro,参数与卖点 KB,华为智慧屏 S6 Pro 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/s6-pro_华为智慧屏 S6 Pro.md
product-智慧屏-s7-pro,参数与卖点 KB,华为智慧屏 S7 Pro 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/s7-pro_华为智慧屏 S7 Pro.md
product-智慧屏-s7,参数与卖点 KB,华为智慧屏 S7 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/s7_华为智慧屏 S7.md
product-智慧屏-s7x-pro,参数与卖点 KB,华为智慧屏 S7X Pro 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/s7x-pro_华为智慧屏 S7X Pro.md
product-智慧屏-se43,参数与卖点 KB,华为智慧屏 SE43 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/se43_华为智慧屏 SE43.md
product-智慧屏-v6,参数与卖点 KB,华为智慧屏 V6 产品档案,official_vmall_catalog_or_product_page,https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true | https://www.vmall.com/portal/search/index.html?targetRoute=searchresult&searchWord=%25E6%2599%25BA%25E6%2585%25A7%25E5%25B1%258F&searchHistoryShow=true&searchResultPageProdShow=true,01_参数与卖点_KB/智慧屏/v6_华为智慧屏 V6.md
